"","grant_title","id","organization","total_amount","group","Grant start date","start_month","start_day","start_year"
"85","Atención Técnica Directa al Adulto Mayor Institucionalizado",85,"Fundación Las Rosas",87109954,"high","11-08-2013","11","08","2013"
"86","Gastos Operacionales de 40 Hogares de Fundación Las Rosas",86,"Fundación Las Rosas",100000000,"high","04-05-2013","04","05","2013"
"87","Insumos de Servicios de Cuidado Directo al Adulto Mayor",87,"Fundación Las Rosas",958191414,"high","06-17-2013","06","17","2013"
"88","Pedaleando por un Sueño",88,"Fundación Lucha contra la Retinitis Pigmentosa",2000000,"low","08-09-2013","08","09","2013"
"89","Area Deportiva Riecillo",89,"Fundación Mi Parque",63741188,"high","12-06-2013","12","06","2013"
"90","Areas Verdes Educativas",90,"Fundación Mi Parque",50000000,"medium","06-03-2013","06","03","2013"
"91","Diseño y Construcción Participativa Plaza Las Higueras",91,"Fundación Mi Parque",70000000,"high","11-05-2013","11","05","2013"
"92","Máster Plan Participativo Áreas Verdes Baquedano",92,"Fundación Mi Parque",23919000,"medium","09-30-2013","09","30","2013"
"93","Oasis Educativo Gen",93,"Fundación Mi Parque",53203000,"high","06-28-2013","06","28","2013"
"94","Parque Las Turbinas",94,"Fundación Mi Parque",196843049,"high","10-10-2013","10","10","2013"
"95","Plan Maestro Huertos Familiares",95,"Fundación Mi Parque",69980000,"high","11-05-2013","11","05","2013"
"96","Plaza Antu Huilén",96,"Fundación Mi Parque",30000000,"medium","11-15-2013","11","15","2013"
"97","Plaza Centenario de Colina",97,"Fundación Mi Parque",25900000,"medium","12-06-2013","12","06","2013"
"98","Plaza Gómez Carreño, Viña del Mar",98,"Fundación Mi Parque",12000000,"low","12-05-2013","12","05","2013"
"99","Plazas",99,"Fundación Mi Parque",32900000,"medium","06-03-2013","06","03","2013"
"100","Plazas Recoleta",100,"Fundación Mi Parque",37573600,"medium","12-30-2013","12","30","2013"
"101","Plazas Región Metropolitana",101,"Fundación Mi Parque",27450000,"medium","08-24-2013","08","24","2013"
"102","Recuperación 20 Plazas",102,"Fundación Mi Parque",93632000,"high","04-01-2013","04","01","2013"
"103","Recuperación del Parque Huertos Familiares",103,"Fundación Mi Parque",68164581,"high","11-05-2013","11","05","2013"
"104","Áreas Verdes Colegio Nuestra Señora del Carmen",104,"Fundación Mi Parque",5000000,"low","12-30-2013","12","30","2013"
"105","CREO 1",105,"Fundación Misses por una Causa",40081544,"medium","12-01-2013","12","01","2013"
"106","Construcción Nuevo Hogar Buen Camino y Reforzamiento de Intervencion en Niños",106,"Fundación Padre Semeria",14999999,"medium","12-24-2013","12","24","2013"
"107","Programa de Prevención de Violencia Escolar",107,"Fundación Paz Ciudadana",11633790,"low","12-26-2013","12","26","2013"
"108","Programa de empleabilidad para jóvenes infractores de la ley",108,"Fundación Proyecto B",35000000,"medium","04-08-2013","04","08","2013"
"109","Financiamiento Operación Centro de Rehabilitación Laboral (CRL)",109,"Fundación Rostros Nuevos",45351397,"medium","01-31-2013","01","31","2013"
"110","Financiamiento Operación del programa Apoyo familiar (PAFAM)",110,"Fundación Rostros Nuevos",58221053,"high","01-31-2013","01","31","2013"
"111","Financiamiento Operación del programa Centro de Larga Estadía (CLE)",111,"Fundación Rostros Nuevos",47973603,"medium","01-31-2013","01","31","2013"
"112","Tengo Derecho a Vivir en Familia",112,"Fundación San José Centro de Atención Familiar",10000000,"low","03-14-2013","03","14","2013"
"113","Proyectos de Potenciamiento de Productividad y Competividad de Micro y Pequeñas Empresas, RM, II,III y V región",113,"Fundación Technoserve Chile",275798070,"high","07-29-2013","07","29","2013"
"114","Construcción Casa de Acogida",114,"Fundación de Ayuda al Niño Oncológico Casa de la Sagrada Familia",144380135,"high","01-14-2013","01","14","2013"
"115","Empleo con apoyo para personas en situacion de calle de las regiones de: Valparaiso, Santiago y Bio Bio",115,"Fundación de Beneficencia Ayuda y Esperanza",10000,"low","11-30-2013","11","30","2013"
"116","Entrega de Creditos y Capacitacion de 20.553 emprendedoras/es de la Zona Norte, V Region, Colina, Lampa y Til Til",116,"Fundación de Beneficencia Ayuda y Esperanza",367391905,"high","04-30-2013","04","30","2013"
"117","Financiamiento Operación Red PADAM",117,"Fundación de Beneficencia Hogar de Cristo",158385462,"high","01-31-2013","01","31","2013"
"118","Financiamiento Operación Red de Hospederías",118,"Fundación de Beneficencia Hogar de Cristo",92029149,"high","01-31-2013","01","31","2013"
"119","Financiamiento Residencia Adulto Mayor",119,"Fundación de Beneficencia Hogar de Cristo",1911098272,"high","01-31-2013","01","31","2013"
"120","Programa Niño Adelante 2013",120,"Fundación de Beneficencia Hogar de Cristo",374624216,"high","10-31-2013","10","31","2013"
"121","Remodelación y ampliación de Centro de Apoyo a la Familia Policlinico El Salto",121,"Fundación de Educación y Desarrollo Social Los Lagos",23000000,"medium","12-23-2013","12","23","2013"
"122","Elige Vivir Sano",122,"Fundación de la Familia",185369500,"high","02-06-2013","02","06","2013"
"123","Vida saludable en familia",123,"Fundación de la Familia",380000000,"high","08-14-2013","08","14","2013"
"124","Concurso de emprendimiento juvenil, para estudiantes de la Educación Media Técnico Profesional de sectores vulnerables",124,"Fundación del Río Arteaga",19061247,"medium","06-03-2013","06","03","2013"
"125","Visitas a colegios, asesorías personalizadas y voluntariado",125,"Fundación por una Carrera",5346297,"low","01-23-2013","01","23","2013"
"126","Residencia Barbara Kast",126,"Maria Ayuda Corporación de Beneficencia",4000000,"low","10-14-2013","10","14","2013"
"127","Residencia Mixta María Ayuda Viña",127,"Maria Ayuda Corporación de Beneficencia",7330000,"low","11-19-2013","11","19","2013"
"128","Residencia Nuestra Señora de la Anunciación",128,"Maria Ayuda Corporación de Beneficencia",3982385,"low","09-10-2013","09","10","2013"
"129","Residencia Nuestra Señora de la Esperanza",129,"Maria Ayuda Corporación de Beneficencia",1650000,"low","10-09-2013","10","09","2013"
"130","Residencia Nuestra Señora de la Visitación",130,"Maria Ayuda Corporación de Beneficencia",38999972,"medium","04-11-2013","04","11","2013"
"131","Residencia Padre Hernán",131,"Maria Ayuda Corporación de Beneficencia",30247000,"medium","04-08-2013","04","08","2013"
"132","Residencia Villa Santa María del Bosque",132,"Maria Ayuda Corporación de Beneficencia",130965709,"high","10-08-2013","10","08","2013"
"133","Residencia de Niños José Engling",133,"Maria Ayuda Corporación de Beneficencia",38411941,"medium","01-07-2013","01","07","2013"
"134","Villa Santa María del Bosque",134,"Maria Ayuda Corporación de Beneficencia",1000000,"low","12-16-2013","12","16","2013"
"135","Programa de Apoyo a Estudiantes Mapuches de Enseñanza Media en Condiciones de Vulnerabilidad",135,"ONG OIES para los pueblos Indígenas",12305165,"low","05-30-2013","05","30","2013"
"136","Construyendo mi Futuro",136,"ONG de Desarrollo ANSPAC",20000000,"medium","04-30-2013","04","30","2013"
"137","Construyendo un Futuro",137,"ONG de Desarrollo ANSPAC",29500000,"medium","06-11-2013","06","11","2013"
"138","Unidos por la Salud de los Niños",138,"Patronato Nacional de la Infancia",89719357,"high","12-23-2013","12","23","2013"
"139","Reconstrucción Colegio Técnico Las Nieves",139,"Sociedad de Asistencia y Capacitación",75750000,"high","04-24-2013","04","24","2013"
"140","Reconstrucción de Residencia Femenina Santa Victoria en Talcahuano",140,"Sociedad de Asistencia y Capacitación",80343204,"high","07-31-2013","07","31","2013"
"141","Apadrinamiento de 470 niños en alto riesgo social de La Pintana",141,"Asociación Benéfica Cristiana Promotora de Desarrollo Integral",24425291,"medium","09-11-2014","09","11","2014"
"142","Programa Apadrinamiento niños con errores innatos de metabolismo",142,"Asociación Nacional Chilena de los Amigos de la Infancia",2300000,"low","12-15-2014","12","15","2014"
"143","Segundo taller de manejo conductual para personas afectadas por SPW",143,"Asociación Nacional del Síndrome de Prader Willi A.N.S.P.W.",5000000,"low","06-20-2014","06","20","2014"
"144","Programa Emprende mamá",144,"Asociación de Damas Salesianas",10039638,"low","10-10-2014","10","10","2014"
"145","Proyecto centro de rehabilitación Antofagasta",145,"COANIQUEM",1000000,"low","12-31-2014","12","31","2014"
"146","Proyecto de financiamiento de gasto operacional de centro de rehabilitación de Puerto Montt",146,"COANIQUEM",7808507,"low","08-08-2014","08","08","2014"
"147","Rehabilitación de Personas de Escasos Recursos con Adicción a las Drogas",147,"Casa de Acogida La Esperanza",266568422,"high","02-06-2014","02","06","2014"
"148","Proyecto RSE - Programa de Desarrollo Pullinque",148,"Corporación Agraria para el Desarrollo",86864219,"high","10-30-2014","10","30","2014"
"149","Centro de Desarrollo Integral, Sede Colina",149,"Corporación Crece Chile",12600000,"medium","07-14-2014","07","14","2014"
"150","Centro de Desarrollo Integral, Sede La Florida",150,"Corporación Crece Chile",2000000,"low","06-26-2014","06","26","2014"
"151","Centro de Desarrollo Integral, Sede Lo Barnechea",151,"Corporación Crece Chile",8000000,"low","07-14-2014","07","14","2014"
"152","Centro de Desarrollo Integral, Sede Maipú",152,"Corporación Crece Chile",8000000,"low","07-14-2014","07","14","2014"
"153","Centro de Desarrollo Integral, Sede Pudahuel",153,"Corporación Crece Chile",10000000,"low","08-29-2014","08","29","2014"
"154","Construcción CREE Cerro Navia",154,"Corporación Educacional Equipo y Excelencia",389854182,"high","10-07-2014","10","07","2014"
"155","Cuidado Infantil Educación y Participación",155,"Corporación Educacional y de Beneficencia Cristo Joven",127196281,"high","03-25-2014","03","25","2014"
"156","Talleres para promover una actitud emprendedora en jóvenes",156,"Corporación Forja Chile",16800000,"medium","04-04-2014","04","04","2014"
"157","Cicloturismo y Aventura",157,"Corporación La Montaña",18700000,"medium","07-25-2014","07","25","2014"
"158","Descubriendo la naturaleza de Til Til",158,"Corporación La Montaña",39600000,"medium","07-25-2014","07","25","2014"
"159","Perros de Asistencia Judicial",159,"Corporación Nacional de Fomento a la integracion Animal en la Rehabilitacion (CONFIAR)",60001154,"high","01-27-2014","01","27","2014"
"160","Red de Alimentos",160,"Corporación Red de Alimentos",482811998,"high","02-21-2014","02","21","2014"
"161","Apoyo Emocional a Mujeres con Cáncer de Mama",161,"Corporación Yo Mujer",30372593,"medium","09-24-2014","09","24","2014"
"162","Ampliación y readecuación planta física Centro de Diagnóstico MATER",162,"Corporación de Ayuda al Niño Enfermo Renal Mater",124750305,"high","04-29-2014","04","29","2014"
"163","Centro de Rehabilitación Puerto Montt",163,"Corporación de Ayuda al Niño Quemado COANIQUEM",3170000,"low","08-29-2014","08","29","2014"
"164","Invirtiendo en mi interior",164,"Corporación de Desarrollo Mundo Violeta",100000,"low","11-27-2014","11","27","2014"
"165","Ayudar.cl",165,"Corporación de Organizaciones Solidarias",2081406,"low","01-20-2014","01","20","2014"
"166","Fortalecimiento Organizaciones Sociales que prestan servicios a Personas de Escasos Recursos",166,"Corporación de Organizaciones Solidarias",19515000,"medium","08-26-2014","08","26","2014"
"167","Optimización de la Gestión integral del Hogar de Protección Villa Jorge",167,"Corporación demos una oportunidad al menor",200000000,"high","02-05-2014","02","05","2014"
"168","Nivelación de estudios comuna de Tierra Amarilla",168,"Corporación para el Desarrollo de la Región de Atacama (CORPROA)",15093000,"medium","10-13-2014","10","13","2014"
"169","Derecho a la Educacion para Todos: Mejoramiento y operación de 5 Escuelas de Reinsercion Educativa",169,"F oUpNerDaAciCónIO dNe 5E DEUscCuAeClasIO dNeA RLe SinUseMrAciTonE Ed",100000,"low","11-30-2014","11","30","2014"
"170","Derecho a la Educacion para Todos: Mejoramiento y operación de 5 Escuelas de Reinsercion Educativa",170,"F oUpNerDacAiCónIO dNe 5E DEUscCuAeClaIsO dNeA RLe SinUseMrAciTonE Ed",14474250,"medium","09-30-2014","09","30","2014"
"171","Derecho a la Educacion para Todos: Mejoramiento y operación de 5 Escuelas de Reinsercion Educativa",171,"F oUpNerDacAiCónIO dNe 5E DEUscCuAelCaIsO dNeA RLe SinUseMrAciTonE Ed",30000000,"medium","12-31-2014","12","31","2014"
"172","Escuela Padre Hurtado Renca",172,"FUNDACION EDUCACIONAL SUMATE",52294957,"high","01-31-2014","01","31","2014"
"173","Escuela Padre Lavin",173,"FUNDACION EDUCACIONAL SUMATE",5000000,"low","06-30-2014","06","30","2014"
"174","Inserción a la Educación Técnica Superior",174,"FUNDACION EDUCACIONAL SUMATE",303004664,"high","01-31-2014","01","31","2014"
"175","Programas Prevención a la Deserción Escolar",175,"FUNDACION EDUCACIONAL SUMATE",408355955,"high","01-31-2014","01","31","2014"
"176","Proyecto Portas",176,"Fundación Portas",23145599,"medium","01-31-2014","01","31","2014"
"177","Operacion de Programas Terapeuticos Residenciales Adultos La Manresa, San Francisco y Santa Ana",177,"Fundación (Paréntesis)",545126535,"high","01-31-2014","01","31","2014"
"178","Operación de Programas Terapéuticos Ambulatorios para Adolescentes",178,"Fundación (Paréntesis)",127638724,"high","01-31-2014","01","31","2014"
"179","Operación de los Programas Terapéuticos Residenciales para Adultos La Tirana y Padre Alberto Hurtado",179,"Fundación (Paréntesis)",48010676,"medium","01-31-2014","01","31","2014"
"180","Operación de los Programas Terapéuticos Residenciales para Adultos Villamávida Hombres y Villamávida Mujeres",180,"Fundación (Paréntesis)",500000,"low","07-31-2014","07","31","2014"
"181","Operación del Programa Terapéutico Ambulatorio para Personas en Situación de Calle Concepción",181,"Fundación (Paréntesis)",25603117,"medium","01-31-2014","01","31","2014"
"182","Tratamiento Integral Ambulatorio para personas adultas con consumo problematico
de Alcohol y Drogas y otros Transtornos de salud Mental",182,"Fundación (Paréntesis)",1126000,"low","03-31-2014","03","31","2014"
"183","Servicios de apoyo a empresas para la inclusión laboral de personas con discapacidad",183,"Fundación AMIPAC",2000000,"low","12-10-2014","12","10","2014"
"184","Ampliación Proyecto Plazas para Ramón Cordero",184,"Fundación Acción Social Educacional Goretti",48129023,"medium","01-17-2014","01","17","2014"
"185","Junto al Barrio Costa Brava y Viento Sur, Promoviendo la Integración Comunitaria y Articulando Redes de Inversión Pública y Privada",185,"Fundación Acción Social Educacional Goretti",64770056,"high","03-10-2014","03","10","2014"
"186","Junto al Barrio El Castillo, promoviendo la organización comunitaria La Pintana y articulando redes de inversión pública y colaboración privada",186,"Fundación Acción Social Educacional Goretti",9500000,"low","04-14-2014","04","14","2014"
"187","Organizaciones comunitarias población La Pincoya: Liderando el cambio",187,"Fundación Acción Social Educacional Goretti",60000000,"high","07-12-2014","07","12","2014"
"188","Organizaciones comunitarias población Los Nogales: Liderando el cambio",188,"Fundación Acción Social Educacional Goretti",60000000,"high","06-02-2014","06","02","2014"
"189","Pintura de fachadas Costa Brava",189,"Fundación Acción Social Educacional Goretti",63674847,"high","01-24-2014","01","24","2014"
"190","Traspaso de competencias claves a las organizaciones",190,"Fundación Acción Social Educacional Goretti",4851598,"low","05-05-2014","05","05","2014"
"191","Apoyo a la integración social y laboral de jóvenes con discapacidad leve o moderada",191,"Fundación Amigos Por Siempre",18220000,"medium","05-11-2014","05","11","2014"
"192","Centro Diurno de Rehabilitación con base comunitaria Huelén 2001",192,"Fundación Amigos de Jesús",56580000,"high","05-23-2014","05","23","2014"
"193","Desarrollo Proyecto Agua Potable Callaqui",193,"Fundación Amulén",10817500,"low","05-29-2014","05","29","2014"
"194","Proyecto Turbo Generador Alto Bío Bío",194,"Fundación Amulén",28224145,"medium","07-29-2014","07","29","2014"
"195","A Convivir Se Aprende",195,"Fundación América Solidaria",7500000,"low","12-23-2014","12","23","2014"
"196","Potenciando autonomía",196,"Fundación América Solidaria",10000000,"low","10-07-2014","10","07","2014"
"197","Primeros pasos, educación social integral para niñas y niños",197,"Fundación América Solidaria",7500000,"low","12-30-2014","12","30","2014"
"198","Promoviendo inclusión: Educación intercultural para niños y niñas migrantes",198,"Fundación América Solidaria",12354500,"medium","12-23-2014","12","23","2014"
"199","Programa de Becas CFT (Centros de Formación Técnica) para ex alumnos de Belén Educa",199,"Fundación Belén Educa",1598540,"low","12-31-2014","12","31","2014"
"200","Mejorando las residencias de protección, para personas con Discapacidad Intelectual de la Fundación Coanil",200,"Fundación COANIL",25830000,"medium","01-31-2014","01","31","2014"
"201","Síndrome de Down y proyecto de vida inclusiva",201,"Fundación CPUED",56199600,"high","03-05-2014","03","05","2014"
"202","Activarse",202,"Fundación Casa de la Paz",55300899,"high","04-28-2014","04","28","2014"
